analysis_scope,side,opposite_protrusion_mm,pulley_runout_mm,left_inner_centerward_error_mm,right_inner_centerward_error_mm,kp000_placement_error_mm,pulley_placement_error_mm,frame_deflection_mm,belt_wander_mm,relative_axial_error_mm,center_residual_mm,belt_nominal_mm,belt_residual_mm,pulley_nominal_mm,pulley_residual_mm,status,failure_reason
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,1.0,0.0,1.0,,20.25,18.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,1.0,1.0,1.0,,20.25,17.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,1.0,2.0,1.0,,20.25,16.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,2.0,0.0,1.0,,20.25,17.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,2.0,1.0,1.0,,20.25,16.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,0.0,2.0,2.0,1.0,,20.25,15.25,20.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,0.0,0.0,0.0,,20.25,20.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,0.0,1.0,0.0,,20.25,19.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,0.0,2.0,0.0,,20.25,18.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,1.0,0.0,0.0,,20.25,19.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,1.0,1.0,0.0,,20.25,18.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,1.0,2.0,0.0,,20.25,17.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,2.0,0.0,0.0,,20.25,18.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,2.0,1.0,0.0,,20.25,17.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.0,,,1.0,1.0,2.0,2.0,0.0,,20.25,16.25,20.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,0.0,0.0,0.0,,20.25,20.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,0.0,1.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,0.0,2.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,1.0,0.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,1.0,1.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,1.0,2.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,2.0,0.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,2.0,1.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,-1.0,2.0,2.0,0.0,,20.25,16.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,0.0,0.0,1.0,,20.25,19.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,0.0,1.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,0.0,2.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,1.0,0.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,1.0,1.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,1.0,2.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,2.0,0.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,2.0,1.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,0.0,2.0,2.0,1.0,,20.25,15.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,0.0,0.0,2.0,,20.25,18.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,0.0,1.0,2.0,,20.25,17.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,0.0,2.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,1.0,0.0,2.0,,20.25,17.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,1.0,1.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,1.0,2.0,2.0,,20.25,15.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,2.0,0.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,2.0,1.0,2.0,,20.25,15.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,-1.0,1.0,2.0,2.0,2.0,,20.25,14.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,0.0,0.0,1.0,,20.25,19.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,0.0,1.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,0.0,2.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,1.0,0.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,1.0,1.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,1.0,2.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,2.0,0.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,2.0,1.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,-1.0,2.0,2.0,1.0,,20.25,15.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,0.0,0.0,0.0,,20.25,20.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,0.0,1.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,0.0,2.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,1.0,0.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,1.0,1.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,1.0,2.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,2.0,0.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,2.0,1.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,0.0,2.0,2.0,0.0,,20.25,16.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,0.0,0.0,1.0,,20.25,19.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,0.0,1.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,0.0,2.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,1.0,0.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,1.0,1.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,1.0,2.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,2.0,0.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,2.0,1.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,0.0,1.0,2.0,2.0,1.0,,20.25,15.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,0.0,0.0,2.0,,20.25,18.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,0.0,1.0,2.0,,20.25,17.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,0.0,2.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,1.0,0.0,2.0,,20.25,17.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,1.0,1.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,1.0,2.0,2.0,,20.25,15.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,2.0,0.0,2.0,,20.25,16.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,2.0,1.0,2.0,,20.25,15.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,-1.0,2.0,2.0,2.0,,20.25,14.25,20.75,17.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,0.0,0.0,1.0,,20.25,19.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,0.0,1.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,0.0,2.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,1.0,0.0,1.0,,20.25,18.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,1.0,1.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,1.0,2.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,2.0,0.0,1.0,,20.25,17.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,2.0,1.0,1.0,,20.25,16.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,0.0,2.0,2.0,1.0,,20.25,15.25,20.75,18.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,0.0,0.0,0.0,,20.25,20.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,0.0,1.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,0.0,2.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,1.0,0.0,0.0,,20.25,19.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,1.0,1.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,1.0,2.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,2.0,0.0,0.0,,20.25,18.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,2.0,1.0,0.0,,20.25,17.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,0,1.5,,,1.0,1.0,2.0,2.0,0.0,,20.25,16.25,20.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,0.0,0.0,0.0,,19.25,19.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,0.0,1.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,0.0,2.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,1.0,0.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,1.0,1.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,1.0,2.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,2.0,0.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,2.0,1.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,-1.0,2.0,2.0,0.0,,19.25,15.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,0.0,0.0,1.0,,19.25,18.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,0.0,1.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,0.0,2.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,1.0,0.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,1.0,1.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,1.0,2.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,2.0,0.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,2.0,1.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,0.0,2.0,2.0,1.0,,19.25,14.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,0.0,0.0,2.0,,19.25,17.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,0.0,1.0,2.0,,19.25,16.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,0.0,2.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,1.0,0.0,2.0,,19.25,16.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,1.0,1.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,1.0,2.0,2.0,,19.25,14.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,2.0,0.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,2.0,1.0,2.0,,19.25,14.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,-1.0,1.0,2.0,2.0,2.0,,19.25,13.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,0.0,0.0,1.0,,19.25,18.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,0.0,1.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,0.0,2.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,1.0,0.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,1.0,1.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,1.0,2.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,2.0,0.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,2.0,1.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,-1.0,2.0,2.0,1.0,,19.25,14.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,19.25,19.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,0.0,1.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,0.0,2.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,1.0,0.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,1.0,1.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,1.0,2.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,2.0,0.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,2.0,1.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,0.0,2.0,2.0,0.0,,19.25,15.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,0.0,0.0,1.0,,19.25,18.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,0.0,1.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,0.0,2.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,1.0,0.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,1.0,1.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,1.0,2.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,2.0,0.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,2.0,1.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,0.0,1.0,2.0,2.0,1.0,,19.25,14.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,0.0,0.0,2.0,,19.25,17.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,0.0,1.0,2.0,,19.25,16.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,0.0,2.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,1.0,0.0,2.0,,19.25,16.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,1.0,1.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,1.0,2.0,2.0,,19.25,14.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,2.0,0.0,2.0,,19.25,15.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,2.0,1.0,2.0,,19.25,14.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,-1.0,2.0,2.0,2.0,,19.25,13.25,19.75,17.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,0.0,0.0,1.0,,19.25,18.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,0.0,1.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,0.0,2.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,1.0,0.0,1.0,,19.25,17.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,1.0,1.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,1.0,2.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,2.0,0.0,1.0,,19.25,16.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,2.0,1.0,1.0,,19.25,15.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,0.0,2.0,2.0,1.0,,19.25,14.25,19.75,18.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,0.0,0.0,0.0,,19.25,19.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,0.0,1.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,0.0,2.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,1.0,0.0,0.0,,19.25,18.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,1.0,1.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,1.0,2.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,2.0,0.0,0.0,,19.25,17.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,2.0,1.0,0.0,,19.25,16.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.0,,,1.0,1.0,2.0,2.0,0.0,,19.25,15.25,19.75,19.75,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,0.0,0.0,0.0,,19.25,19.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,0.0,1.0,0.0,,19.25,18.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,0.0,2.0,0.0,,19.25,17.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,1.0,0.0,0.0,,19.25,18.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,1.0,1.0,0.0,,19.25,17.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,1.0,2.0,0.0,,19.25,16.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,2.0,0.0,0.0,,19.25,17.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,2.0,1.0,0.0,,19.25,16.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,-1.0,2.0,2.0,0.0,,19.25,15.25,19.75,19.25,PASS_BOUNDARY,
INNER_SIDE,RIGHT,1,0.5,,,-1.0,0.0,0.0,0.0,1.0,,19.25,18.25,19.75,18.25,PASS_BOUNDARY,
